Filename,n,m,Metodo,Tiempo
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,166.174
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,4.46632
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.2023
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.29628
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,164.857
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.20209
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.21533
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.68688
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,172.396
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,3.08544
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.36604
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.69999
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,176.457
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.22865
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,10.0798
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.6641
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,169.502
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.13208
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.49396
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,11.1036
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,166.785
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,4.4432
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.62974
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.64983
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,168.485
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,4.98571
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.26434
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,9.67524
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,170.078
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.69651
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,7.32848
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.41713
exp_random_2nodos_1ejes.txt,2,1,Dijkstra,175.467
exp_random_2nodos_1ejes.txt,2,1,Dijkstra con cola de prioridad,2.24881
exp_random_2nodos_1ejes.txt,2,1,Bellman-Ford,10.9421
exp_random_2nodos_1ejes.txt,2,1,Floyd-Warshall,6.474
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1234.82
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,9.38386
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,36.6795
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.2751
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1453.47
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,10.609
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,45.0285
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.0361
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1208.7
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,11.4583
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,36.4047
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.3637
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1201.1
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,11.3308
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,35.4157
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.1347
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1219.31
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,8.62233
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,36.2099
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.5729
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1226.71
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,11.1257
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,37.0034
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.3801
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1215.16
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,8.55936
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,36.9167
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,21.909
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1200.63
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,8.5452
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,36.4374
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,21.7465
exp_random_3nodos_3ejes.txt,3,3,Dijkstra,1247.27
exp_random_3nodos_3ejes.txt,3,3,Dijkstra con cola de prioridad,8.55146
exp_random_3nodos_3ejes.txt,3,3,Bellman-Ford,39.2234
exp_random_3nodos_3ejes.txt,3,3,Floyd-Warshall,22.1801
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,4930.5
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,20.6869
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,113.013
