Filename,n,m,Metodo,Tiempo
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,158.361
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,5.72788
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,8.91753
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,6.52545
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,157.803
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.27943
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,7.07625
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,6.37242
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,157.719
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.18124
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,12.0499
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,6.31924
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,157.657
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.29587
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,9.03965
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,6.35286
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,156.573
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,6.17204
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,7.35565
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,6.32816
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,151.25
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.98198
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,7.24864
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,7.2594
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,153.678
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.33396
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,7.09878
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,9.23228
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,152.823
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.29571
exp_random_ralo_2nodos_2ejes.txt,2,2,Bellman-Ford,8.04603
exp_random_ralo_2nodos_2ejes.txt,2,2,Floyd-Warshall,12.0216
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra,153.319
exp_random_ralo_2nodos_2ejes.txt,2,2,Dijkstra con cola de prioridad,2.26785
